One “master” query: tables + columns + PK + FK + data types + defaults,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SchemaName,TableName,ColumnOrder,ColumnName,DataType,IsNullable,IsIdentity,IsComputed,DefaultDefinition,PrimaryKeyOrdinal,FK_Name,RefSchema,RefTable,RefColumn,ColumnDescription
dbo,AP_OPEN_ITEM,42,APO_RETNGE_FLAG,bit,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,43,APO_1099_VOUCHER_REPORTED_FLAG,bit,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,44,APO_REFERENCE,varchar(30),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,45,APO_USER_ID,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,46,APO_NON_DISCOUNT_AMOUNT,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,47,APO_SALES_TAX,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,48,APO_VOUCHER_COMMENT,varchar(60),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,49,APO_ID,int,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,50,APO_CN_VOUCHER_NUMBER,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,51,apo_installer_id,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,52,APO_TIME_STAMP,timestamp,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,53,APO_GST,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,54,APO_CANCEL_DATE,datetime,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM_ADJUSTMENT_TRANS,1,AOT_COMPANY_ID,int,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM_ADJUSTMENT_TRANS,2,AOT_WAREHOUSE_NUMBER,int,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM_ADJUSTMENT_TRANS,3,AOT_USER_ID,int,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM_ADJUSTMENT_TRANS,4,AOT_TRANSACTION_TYPE,int,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
